Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:02:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:51 PM    3   57.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   42.86
01:02:51 PM    4   19.19    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   78.79
01:02:51 PM    5   81.37    0.00    0.98    0.00    0.98    0.98    0.00    0.00    0.00   15.69
01:02:51 PM    6   11.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   87.00
01:02:51 PM    7   92.08    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00    5.94
01:02:51 PM    8   30.00    0.00    5.00    0.00    1.00    0.00    0.00    0.00    0.00   64.00
01:02:51 PM    9   25.25    0.00    4.04    2.02    1.01    0.00    0.00    0.00    0.00   67.68
01:02:51 PM   10   32.00    0.00    3.00    0.00    6.00    0.00    0.00    0.00    0.00   59.00
01:02:51 PM   11   35.35    0.00    3.03    0.00    2.02    0.00    0.00    0.00    0.00   59.60

01:02:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:52 PM  all   39.77    0.00    1.85    0.00    1.26    0.17    0.00    0.00    0.00   56.96
01:02:52 PM    0   44.44    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   53.54
01:02:52 PM    1   39.60    0.00    6.93    0.00    0.99    0.00    0.00    0.00    0.00   52.48
01:02:52 PM    2   19.00    0.00    1.00    0.00    1.00    1.00    0.00    0.00    0.00   78.00
01:02:52 PM    3   78.22    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   20.79
01:02:52 PM    4   37.62    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   60.40
01:02:52 PM    5   63.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   36.73
01:02:52 PM    6    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
01:02:52 PM    7   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
01:02:52 PM    8   20.41    0.00    3.06    0.00    1.02    0.00    0.00    0.00    0.00   75.51
01:02:52 PM    9   20.62    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   77.32
01:02:52 PM   10   30.00    0.00    3.00    0.00    7.00    0.00    0.00    0.00    0.00   60.00
01:02:52 PM   11   22.22    0.00    4.04    0.00    3.03    0.00    0.00    0.00    0.00   70.71

01:02:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:53 PM  all   38.97    0.00    2.00    0.00    1.00    0.17    0.00    0.00    0.00   57.87
01:02:53 PM    0   50.51    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   47.47
01:02:53 PM    1   36.19    0.00    7.62    0.00    0.95    0.00    0.00    0.00    0.00   55.24
01:02:53 PM    2   16.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
01:02:53 PM    3   85.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.00
01:02:53 PM    4   41.41    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   57.58
01:02:53 PM    5   57.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   42.00
01:02:53 PM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:02:53 PM    7   99.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00
01:02:53 PM    8   16.33    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   80.61
01:02:53 PM    9   14.71    0.00    3.92    0.00    0.98    0.98    0.00    0.00    0.00   79.41
01:02:53 PM   10   22.22    0.00    2.02    0.00    5.05    0.00    0.00    0.00    0.00   70.71
01:02:53 PM   11   28.28    0.00    5.05    0.00    2.02    0.00    0.00    0.00    0.00   64.65

01:02:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:54 PM  all   37.86    0.00    1.84    0.00    1.09    0.25    0.00    0.00    0.00   58.96
01:02:54 PM    0   53.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   46.94
01:02:54 PM    1   34.62    0.00    8.65    0.00    0.96    0.96    0.00    0.00    0.00   54.81
01:02:54 PM    2   32.32    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   65.66
01:02:54 PM    3   66.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   32.00
01:02:54 PM    4   32.32    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   66.67
01:02:54 PM    5   62.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   37.00
01:02:54 PM    6    0.99    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   98.02
01:02:54 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:02:54 PM    8   15.15    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   80.81
01:02:54 PM    9   19.39    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   77.55
01:02:54 PM   10   20.41    0.00    2.04    0.00    6.12    0.00    0.00    0.00    0.00   71.43
01:02:54 PM   11   18.18    0.00    3.03    0.00    2.02    0.00    0.00    0.00    0.00   76.77

01:02:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:55 PM  all   38.00    0.00    1.50    0.00    0.67    0.25    0.00    0.00    0.00   59.58
01:02:55 PM    0   49.00    0.00    1.00    0.00    1.00    1.00    0.00    0.00    0.00   48.00
01:02:55 PM    1   40.00    0.00    7.62    0.00    0.95    0.00    0.00    0.00    0.00   51.43
01:02:55 PM    2   28.28    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   70.71
01:02:55 PM    3   70.71    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.29
01:02:55 PM    4   36.63    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   61.39
01:02:55 PM    5   59.60    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   39.39
01:02:55 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:02:55 PM    7   99.01    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00
01:02:55 PM    8   16.33    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   81.63
01:02:55 PM    9   15.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   81.00
01:02:55 PM   10   18.18    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   78.79
01:02:55 PM   11   22.00    0.00    1.00    0.00    1.00    1.00    0.00    0.00    0.00   75.00

01:02:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:56 PM  all   40.77    0.00    1.75    0.00    0.25    0.17    0.00    0.00    0.00   57.06
01:02:56 PM    0   32.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00
01:02:56 PM    1   57.84    0.00    7.84    0.00    0.00    0.00    0.00    0.00    0.00   34.31
01:02:56 PM    2   16.16    0.00    1.01    0.00    1.01    0.00    0.00    0.00    0.00   81.82
01:02:56 PM    3   81.19    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   17.82
01:02:56 PM    4   23.23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.77
01:02:56 PM    5   76.47    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   21.57
01:02:56 PM    6    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01:02:56 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:02:56 PM    8   17.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   79.00
01:02:56 PM    9   21.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   76.00
01:02:56 PM   10   31.96    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   65.98
01:02:56 PM   11   29.59    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   68.37

01:02:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:57 PM  all   37.46    0.00    1.33    0.00    0.75    0.33    0.00    0.00    0.00   60.13
01:02:57 PM    0   66.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   32.00
01:02:57 PM    1   24.76    0.00    7.62    0.00    0.95    0.00    0.00    0.00    0.00   66.67
01:02:57 PM    2   74.26    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   23.76
01:02:57 PM    3   20.79    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   77.23
01:02:57 PM    4   46.53    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   51.49
01:02:57 PM    5   52.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   46.00
01:02:57 PM    6    0.99    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   98.02
01:02:57 PM    7   99.01    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00
01:02:57 PM    8   15.46    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:02:57 PM    9   14.43    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   84.54
01:02:57 PM   10   13.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   84.00
01:02:57 PM   11   21.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   76.00

01:02:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:58 PM  all   37.87    0.00    1.26    0.00    0.42    0.42    0.00    0.00    0.00   60.03
01:02:58 PM    0   54.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   45.92
01:02:58 PM    1   33.02    0.00    7.55    0.00    0.94    0.94    0.00    0.00    0.00   57.55
01:02:58 PM    2   27.27    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   71.72
01:02:58 PM    3   74.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   25.25
01:02:58 PM    4   41.41    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   57.58
01:02:58 PM    5   57.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   42.42
01:02:58 PM    6   30.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   69.39
01:02:58 PM    7   67.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   32.00
01:02:58 PM    8   18.18    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   77.78
01:02:58 PM    9   15.00    0.00    3.00    0.00    1.00    1.00    0.00    0.00    0.00   80.00
01:02:58 PM   10   20.62    0.00    1.03    0.00    1.03    0.00    0.00    0.00    0.00   77.32
01:02:58 PM   11   14.43    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   84.54

01:02:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:02:59 PM  all   38.38    0.00    1.58    0.00    0.75    0.00    0.00    0.00    0.00   59.28
01:02:59 PM    0   66.34    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   31.68
01:02:59 PM    1   28.57    0.00    7.62    0.00    0.00    0.00    0.00    0.00    0.00   63.81
01:02:59 PM    2   64.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   34.00
01:02:59 PM    3   32.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   67.00
01:02:59 PM    4   18.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   81.00
01:02:59 PM    5   81.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   18.00
01:02:59 PM    6    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00
01:02:59 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:02:59 PM    8   13.13    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   83.84
01:02:59 PM    9   13.27    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   83.67
01:02:59 PM   10   19.19    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   78.79
01:02:59 PM   11   25.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   71.00

01:02:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:03:00 PM  all   37.22    0.00    1.17    0.00    0.34    0.17    0.00    0.00    0.00   61.11
01:03:00 PM    0   42.27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   57.73
01:03:00 PM    1   46.67    0.00    7.62    0.00    0.95    0.00    0.00    0.00    0.00   44.76
01:03:00 PM    2   58.59    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00   40.40
01:03:00 PM    3   31.63    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   68.37
01:03:00 PM    4   51.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   48.48
01:03:00 PM    5   47.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   52.00
01:03:00 PM    6   36.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
01:03:00 PM    7   64.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   36.00
01:03:00 PM    8   15.31    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   82.65
01:03:00 PM    9   11.22    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   86.73
01:03:00 PM   10   15.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   82.00
