Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:40:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:22 PM  all   20.19    0.00    2.79    0.00    1.44    0.68    0.00    0.00    0.00   74.92
01:40:22 PM    0   17.53    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   78.35
01:40:22 PM    1   22.22    0.00    3.03    0.00    1.01    1.01    0.00    0.00    0.00   72.73
01:40:22 PM    2   23.47    0.00    3.06    0.00    3.06    1.02    0.00    0.00    0.00   69.39
01:40:22 PM    3   19.19    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   79.80
01:40:22 PM    4   19.79    0.00    3.12    0.00    1.04    0.00    0.00    0.00    0.00   76.04
01:40:22 PM    5   21.57    0.00    2.94    0.00    0.98    1.96    0.00    0.00    0.00   72.55
01:40:22 PM    6   27.27    0.00    4.04    0.00    1.01    1.01    0.00    0.00    0.00   66.67
01:40:22 PM    7   15.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   82.00
01:40:22 PM    8   21.21    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   74.75
01:40:22 PM    9   17.53    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   78.35
01:40:22 PM   10   17.17    0.00    2.02    0.00    6.06    0.00    0.00    0.00    0.00   74.75
01:40:22 PM   11   20.20    0.00    3.03    0.00    3.03    0.00    0.00    0.00    0.00   73.74

01:40:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:40:23 PM  all   13.77    0.00    3.63    0.08    1.27    0.51    0.00    0.00    0.00   80.74
01:40:23 PM    0   13.27    0.00    2.04    0.00    1.02    2.04    0.00    0.00    0.00   81.63
01:40:23 PM    1   15.84    0.00    4.95    0.00    1.98    0.00    0.00    0.00    0.00   77.23
01:40:23 PM    2   16.33    0.00    5.10    0.00    2.04    2.04    0.00    0.00    0.00   74.49
01:40:23 PM    3   15.84    0.00    2.97    0.00    0.99    0.99    0.00    0.00    0.00   79.21
01:40:23 PM    4   23.47    0.00    3.06    0.00    1.02    0.00    0.00    0.00    0.00   72.45
01:40:23 PM    5   10.10    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01:40:23 PM    6   23.96    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   70.83
01:40:23 PM    7    4.04    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   92.93
