Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:04:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:04:04 PM  all   10.41    0.00    2.71    0.00    1.61    0.42    0.00    0.00    0.00   84.84
01:04:04 PM    0    5.10    0.00    1.02    0.00    1.02    1.02    0.00    0.00    0.00   91.84
01:04:04 PM    1   13.40    0.00    6.19    0.00    2.06    0.00    0.00    0.00    0.00   78.35
01:04:04 PM    2   11.11    0.00    3.03    0.00    3.03    1.01    0.00    0.00    0.00   81.82
01:04:04 PM    3   15.15    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   82.83
01:04:04 PM    4    6.25    0.00    2.08    0.00    1.04    0.00    0.00    0.00    0.00   90.62
01:04:04 PM    5   33.33    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   62.63
01:04:04 PM    6   15.31    0.00    5.10    0.00    1.02    0.00    0.00    0.00    0.00   78.57
01:04:04 PM    7    1.98    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   95.05
01:04:04 PM    8    6.12    0.00    4.08    0.00    1.02    0.00    0.00    0.00    0.00   88.78
01:04:04 PM    9    6.19    0.00    2.06    0.00    1.03    0.00    0.00    0.00    0.00   90.72
01:04:04 PM   10    4.12    0.00    1.03    0.00    5.15    0.00    0.00    0.00    0.00   89.69
01:04:04 PM   11    6.86    0.00    1.96    0.00    2.94    0.98    0.00    0.00    0.00   87.25

01:04:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:04:05 PM  all   23.88    0.00    3.12    0.25    1.01    0.68    0.00    0.00    0.00   71.05
01:04:05 PM    0   14.29    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   81.63
01:04:05 PM    1   25.77    0.00    4.12    0.00    1.03    1.03    0.00    0.00    0.00   68.04
01:04:05 PM    2   14.29    0.00    4.08    2.04    2.04    1.02    0.00    0.00    0.00   76.53
