Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:01:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:42 PM  all   10.68    0.00    2.37    0.00    1.53    0.51    0.00    0.00    0.00   84.92
01:01:42 PM    0    8.25    0.00    1.03    0.00    1.03    1.03    0.00    0.00    0.00   88.66
01:01:42 PM    1    6.12    0.00    2.04    0.00    2.04    0.00    0.00    0.00    0.00   89.80
01:01:42 PM    2    6.12    0.00    2.04    0.00    2.04    2.04    0.00    0.00    0.00   87.76
01:01:42 PM    3   19.19    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   77.78
01:01:42 PM    4   22.45    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   74.49
01:01:42 PM    5   20.20    0.00    2.02    0.00    1.01    1.01    0.00    0.00    0.00   75.76
01:01:42 PM    6   18.37    0.00    6.12    0.00    1.02    1.02    0.00    0.00    0.00   73.47
01:01:42 PM    7    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
01:01:42 PM    8    8.16    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   88.78
01:01:42 PM    9    4.04    0.00    5.05    0.00    1.01    0.00    0.00    0.00    0.00   89.90
01:01:42 PM   10    6.12    0.00    1.02    0.00    6.12    0.00    0.00    0.00    0.00   86.73
01:01:42 PM   11    4.08    0.00    2.04    0.00    2.04    0.00    0.00    0.00    0.00   91.84

01:01:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:01:43 PM  all   13.19    0.00    2.96    0.17    1.10    0.76    0.00    0.00    0.00   81.83
01:01:43 PM    0    7.14    0.00    2.04    2.04    0.00    2.04    0.00    0.00    0.00   86.73
01:01:43 PM    1   17.35    0.00    4.08    0.00    1.02    1.02    0.00    0.00    0.00   76.53
