Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:46:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:46:23 PM  all   12.65    0.00    3.54    0.00    1.60    0.84    0.00    0.00    0.00   81.37
01:46:23 PM    0   11.46    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   82.29
01:46:23 PM    1   12.24    0.00    2.04    0.00    1.02    1.02    0.00    0.00    0.00   83.67
01:46:23 PM    2   16.00    0.00    3.00    0.00    3.00    2.00    0.00    0.00    0.00   76.00
01:46:23 PM    3   27.27    0.00    3.03    0.00    1.01    0.00    0.00    0.00    0.00   68.69
01:46:23 PM    4   16.16    0.00    3.03    0.00    1.01    1.01    0.00    0.00    0.00   78.79
01:46:23 PM    5    7.22    0.00    2.06    0.00    1.03    1.03    0.00    0.00    0.00   88.66
01:46:23 PM    6   15.62    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   81.25
01:46:23 PM    7    7.92    0.00    1.98    0.00    0.99    0.99    0.00    0.00    0.00   88.12
01:46:23 PM    8    9.09    0.00    5.05    0.00    1.01    1.01    0.00    0.00    0.00   83.84
01:46:23 PM    9    8.91    0.00    4.95    0.00    0.99    0.00    0.00    0.00    0.00   85.15
01:46:23 PM   10    9.09    0.00    5.05    0.00    6.06    1.01    0.00    0.00    0.00   78.79
01:46:23 PM   11   10.89    0.00    3.96    0.00    2.97    0.99    0.00    0.00    0.00   81.19

01:46:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:46:24 PM  all   13.67    0.00    3.54    0.00    1.52    0.68    0.00    0.00    0.00   80.59
01:46:24 PM    0   12.24    0.00    3.06    0.00    1.02    2.04    0.00    0.00    0.00   81.63
01:46:24 PM    1   14.29    0.00    3.06    0.00    2.04    0.00    0.00    0.00    0.00   80.61
01:46:24 PM    2    8.25    0.00    3.09    0.00    2.06    1.03    0.00    0.00    0.00   85.57
01:46:24 PM    3   17.82    0.00    3.96    0.00    0.99    0.99    0.00    0.00    0.00   76.24
01:46:24 PM    4   18.37    0.00    4.08    0.00    1.02    0.00    0.00    0.00    0.00   76.53
01:46:24 PM    5   11.00    0.00    2.00    0.00    1.00    1.00    0.00    0.00    0.00   85.00
01:46:24 PM    6   24.00    0.00    3.00    0.00    1.00    0.00    0.00    0.00    0.00   72.00
01:46:24 PM    7   25.74    0.00    2.97    0.00    0.99    0.99    0.00    0.00    0.00   69.31
01:46:24 PM    8   11.22    0.00    6.12    0.00    1.02    0.00    0.00    0.00    0.00   81.63
01:46:24 PM    9    8.16    0.00    3.06    0.00    1.02    1.02    0.00    0.00    0.00   86.73
01:46:24 PM   10    5.10    0.00    5.10    0.00    4.08    1.02    0.00    0.00    0.00   84.69
01:46:24 PM   11    7.14    0.00    3.06    0.00    2.04    0.00    0.00    0.00    0.00   87.76

01:46:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:46:25 PM  all   46.46    0.00    9.85    0.00    0.59    0.25    0.00    0.00    0.00   42.85
01:46:25 PM    0   28.87    0.00    6.19    0.00    1.03    1.03    0.00    0.00    0.00   62.89
01:46:25 PM    1   53.47    0.00   11.88    0.00    0.99    0.99    0.00    0.00    0.00   32.67
01:46:25 PM    2   39.80    0.00    6.12    0.00    1.02    1.02    0.00    0.00    0.00   52.04
