Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:32:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:10 PM    3   39.80    0.00    8.16    1.02    1.02    0.00    0.00    0.00    0.00   50.00
01:32:10 PM    4   43.88    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   47.96
01:32:10 PM    5   41.84    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   50.00
01:32:10 PM    6   16.67    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   78.12
01:32:10 PM    7   42.27    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   45.36
01:32:10 PM    8   19.59    0.00   11.34    0.00    1.03    0.00    0.00    0.00    0.00   68.04
01:32:10 PM    9   15.62    0.00   10.42    0.00    0.00    1.04    0.00    0.00    0.00   72.92
01:32:10 PM   10   15.31    0.00   10.20    0.00    7.14    0.00    0.00    0.00    0.00   67.35
01:32:10 PM   11   12.90    0.00    8.60    0.00    2.15    0.00    0.00    0.00    0.00   76.34

01:32:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:11 PM  all   10.99    0.00    2.94    0.00    0.92    0.42    0.00    0.00    0.00   84.73
01:32:11 PM    0   18.37    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   79.59
01:32:11 PM    1   30.30    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   67.68
01:32:11 PM    2   24.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   74.00
01:32:11 PM    3   11.00    0.00   13.00    0.00    0.00    1.00    0.00    0.00    0.00   75.00
01:32:11 PM    4   10.10    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   86.87
01:32:11 PM    5    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
01:32:11 PM    6   17.17    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   79.80
01:32:11 PM    7    0.00    0.00    7.00    0.00    1.00    0.00    0.00    0.00    0.00   92.00
01:32:11 PM    8    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
01:32:11 PM    9    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:32:11 PM   10    3.00    0.00    2.00    0.00    5.00    1.00    0.00    0.00    0.00   89.00
01:32:11 PM   11    2.02    0.00    1.01    0.00    2.02    0.00    0.00    0.00    0.00   94.95

01:32:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:12 PM  all   11.95    0.00    1.17    0.00    0.50    0.25    0.00    0.00    0.00   86.13
01:32:12 PM    0    5.94    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00   91.09
01:32:12 PM    1    4.85    0.00    2.91    0.00    0.97    0.00    0.00    0.00    0.00   91.26
01:32:12 PM    2    6.12    0.00    1.02    0.00    1.02    1.02    0.00    0.00    0.00   90.82
01:32:12 PM    3    5.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:32:12 PM    4   19.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
01:32:12 PM    5   66.67    0.00    0.98    0.00    0.98    0.98    0.00    0.00    0.00   30.39
01:32:12 PM    6   18.18    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   80.81
01:32:12 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:32:12 PM    8    6.06    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   90.91
01:32:12 PM    9    5.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   93.00
01:32:12 PM   10    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:32:12 PM   11    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97

01:32:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:32:13 PM  all   13.38    0.00    1.51    0.00    0.59    0.42    0.00    0.00    0.00   84.11
01:32:13 PM    0    3.09    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   94.85
01:32:13 PM    1    6.86    0.00    2.94    0.00    0.98    0.98    0.00    0.00    0.00   88.24
01:32:13 PM    2   14.14    0.00    2.02    0.00    2.02    1.01    0.00    0.00    0.00   80.81
01:32:13 PM    3    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:32:13 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:32:13 PM    5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:32:13 PM    6    8.16    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   88.78
01:32:13 PM    7    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
