Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

01:39:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:05 PM  all   11.92    0.00    2.87    0.08    1.27    0.51    0.00    0.00    0.00   83.35
01:39:05 PM    0    7.14    0.00    2.04    0.00    1.02    2.04    0.00    0.00    0.00   87.76
01:39:05 PM    1   19.80    0.00    3.96    0.00    1.98    0.00    0.00    0.00    0.00   74.26
01:39:05 PM    2   10.31    0.00    2.06    0.00    2.06    2.06    0.00    0.00    0.00   83.51
01:39:05 PM    3   14.43    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:39:05 PM    4   15.31    0.00    4.08    0.00    1.02    0.00    0.00    0.00    0.00   79.59
01:39:05 PM    5   13.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
01:39:05 PM    6   22.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
01:39:05 PM    7    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
01:39:05 PM    8   10.10    0.00    5.05    1.01    1.01    0.00    0.00    0.00    0.00   82.83
01:39:05 PM    9   10.31    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   85.57
01:39:05 PM   10    5.05    0.00    3.03    0.00    6.06    1.01    0.00    0.00    0.00   84.85
01:39:05 PM   11    6.19    0.00    2.06    0.00    2.06    0.00    0.00    0.00    0.00   89.69

01:39:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:06 PM  all   28.77    0.00    6.72    0.00    0.94    0.68    0.00    0.00    0.00   62.89
01:39:06 PM    0   20.00    0.00    6.00    0.00    1.00    1.00    0.00    0.00    0.00   72.00
01:39:06 PM    1   29.90    0.00    6.19    0.00    1.03    1.03    0.00    0.00    0.00   61.86
01:39:06 PM    2   14.43    0.00    6.19    0.00    2.06    1.03    0.00    0.00    0.00   76.29
01:39:06 PM    3   55.45    0.00    4.95    0.00    0.99    0.99    0.00    0.00    0.00   37.62
01:39:06 PM    4   32.29    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   62.50
01:39:06 PM    5   37.00    0.00    9.00    0.00    1.00    0.00    0.00    0.00    0.00   53.00
01:39:06 PM    6   14.58    0.00    4.17    0.00    1.04    1.04    0.00    0.00    0.00   79.17
01:39:06 PM    7   51.52    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   40.40
01:39:06 PM    8   23.71    0.00    6.19    0.00    1.03    1.03    0.00    0.00    0.00   68.04
01:39:06 PM    9   23.71    0.00    9.28    0.00    1.03    1.03    0.00    0.00    0.00   64.95
01:39:06 PM   10   18.56    0.00    7.22    0.00    1.03    1.03    0.00    0.00    0.00   72.16
01:39:06 PM   11   22.45    0.00    8.16    0.00    1.02    0.00    0.00    0.00    0.00   68.37

01:39:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:07 PM  all   34.45    0.00    8.79    0.52    0.43    0.26    0.00    0.00    0.00   55.56
01:39:07 PM    0   36.84    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   54.74
01:39:07 PM    1   36.46    0.00   10.42    1.04    1.04    0.00    0.00    0.00    0.00   51.04
01:39:07 PM    2   17.53    0.00    6.19    2.06    1.03    1.03    0.00    0.00    0.00   72.16
01:39:07 PM    3   59.79    0.00    8.25    2.06    0.00    0.00    0.00    0.00    0.00   29.90
01:39:07 PM    4   46.46    0.00   10.10    0.00    1.01    0.00    0.00    0.00    0.00   42.42
01:39:07 PM    5   32.65    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   60.20
01:39:07 PM    6    3.12    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:39:07 PM    7   83.17    0.00   12.87    0.00    0.99    0.00    0.00    0.00    0.00    2.97
01:39:07 PM    8   26.32    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   62.11
01:39:07 PM    9   26.80    0.00    9.28    1.03    1.03    0.00    0.00    0.00    0.00   61.86
01:39:07 PM   10   15.96    0.00    9.57    0.00    0.00    0.00    0.00    0.00    0.00   74.47
01:39:07 PM   11   25.00    0.00    9.38    0.00    0.00    1.04    0.00    0.00    0.00   64.58

01:39:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:08 PM  all   28.96    0.00   12.27    0.34    0.60    0.34    0.00    0.00    0.00   57.50
01:39:08 PM    0   21.05    0.00   12.63    0.00    0.00    1.05    0.00    0.00    0.00   65.26
01:39:08 PM    1   33.67    0.00   11.22    2.04    1.02    0.00    0.00    0.00    0.00   52.04
01:39:08 PM    2   25.77    0.00    6.19    0.00    0.00    1.03    0.00    0.00    0.00   67.01
01:39:08 PM    3   39.39    0.00   20.20    2.02    1.01    0.00    0.00    0.00    0.00   37.37
01:39:08 PM    4   49.00    0.00   15.00    0.00    0.00    1.00    0.00    0.00    0.00   35.00
01:39:08 PM    5   25.25    0.00    6.06    0.00    1.01    0.00    0.00    0.00    0.00   67.68
01:39:08 PM    6   16.16    0.00   16.16    0.00    1.01    0.00    0.00    0.00    0.00   66.67
01:39:08 PM    7   54.55    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   27.27
01:39:08 PM    8   24.74    0.00    9.28    0.00    1.03    0.00    0.00    0.00    0.00   64.95
01:39:08 PM    9   21.65    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   65.98
01:39:08 PM   10   16.33    0.00   12.24    0.00    1.02    1.02    0.00    0.00    0.00   69.39
01:39:08 PM   11   18.75    0.00    7.29    0.00    1.04    0.00    0.00    0.00    0.00   72.92

01:39:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:09 PM  all   22.01    0.00    3.10    0.25    1.17    0.33    0.00    0.00    0.00   73.14
01:39:09 PM    0    7.92    0.00    2.97    0.00    0.99    0.99    0.00    0.00    0.00   87.13
01:39:09 PM    1   52.48    0.00    3.96    0.00    0.99    0.99    0.00    0.00    0.00   41.58
01:39:09 PM    2   28.28    0.00    1.01    1.01    1.01    0.00    0.00    0.00    0.00   68.69
01:39:09 PM    3   26.53    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   71.43
01:39:09 PM    4   10.20    0.00    7.14    1.02    0.00    0.00    0.00    0.00    0.00   81.63
01:39:09 PM    5   10.20    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   86.73
01:39:09 PM    6    7.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
01:39:09 PM    7   91.92    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    7.07
01:39:09 PM    8   10.20    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   86.73
01:39:09 PM    9    7.84    0.00    4.90    0.00    0.98    0.00    0.00    0.00    0.00   86.27
01:39:09 PM   10    4.95    0.00    2.97    0.99    6.93    0.99    0.00    0.00    0.00   83.17
01:39:09 PM   11    7.00    0.00    6.00    0.00    2.00    0.00    0.00    0.00    0.00   85.00

01:39:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:39:10 PM  all   21.34    0.00    1.51    0.00    1.34    0.42    0.00    0.00    0.00   75.40
01:39:10 PM    0    8.08    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   88.89
01:39:10 PM    1   15.31    0.00    1.02    0.00    1.02    0.00    0.00    0.00    0.00   82.65
01:39:10 PM    2    8.82    0.00    0.98    0.00    0.98    0.98    0.00    0.00    0.00   88.24
01:39:10 PM    3   81.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   17.00
01:39:10 PM    4   10.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   87.00
01:39:10 PM    5    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:39:10 PM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:39:10 PM    7   99.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00
01:39:10 PM    8    8.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
