Linux 6.16.9-200.fc42.x86_64 (fedora) 	10/19/2025 	_x86_64_	(12 CPU)

12:57:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:40 PM  all   11.69    0.00    2.54    0.25    1.27    0.51    0.00    0.00    0.00   83.74
12:57:40 PM    0    6.06    0.00    1.01    0.00    0.00    2.02    0.00    0.00    0.00   90.91
12:57:40 PM    1   27.55    0.00    3.06    0.00    1.02    0.00    0.00    0.00    0.00   68.37
12:57:40 PM    2   14.74    0.00    2.11    1.05    2.11    1.05    0.00    0.00    0.00   78.95
12:57:40 PM    3   10.20    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   86.73
12:57:40 PM    4   22.68    0.00    2.06    0.00    1.03    0.00    0.00    0.00    0.00   74.23
12:57:40 PM    5   10.78    0.00    2.94    0.98    0.00    0.98    0.00    0.00    0.00   84.31
12:57:40 PM    6   17.53    0.00    2.06    0.00    1.03    0.00    0.00    0.00    0.00   79.38
12:57:40 PM    7    9.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
12:57:40 PM    8    7.92    0.00    4.95    0.99    0.99    0.99    0.00    0.00    0.00   84.16
12:57:40 PM    9    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
12:57:40 PM   10    5.15    0.00    2.06    0.00    5.15    0.00    0.00    0.00    0.00   87.63
12:57:40 PM   11    5.00    0.00    2.00    0.00    3.00    0.00    0.00    0.00    0.00   90.00

12:57:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:57:41 PM  all   13.38    0.00    2.27    0.00    1.35    0.67    0.00    0.00    0.00   82.32
12:57:41 PM    0    5.10    0.00    1.02    0.00    1.02    2.04    0.00    0.00    0.00   90.82
12:57:41 PM    1   51.55    0.00    1.03    0.00    2.06    0.00    0.00    0.00    0.00   45.36
12:57:41 PM    2   13.13    0.00    2.02    0.00    2.02    2.02    0.00    0.00    0.00   80.81
12:57:41 PM    3   18.37    0.00    2.04    0.00    1.02    0.00    0.00    0.00    0.00   78.57
12:57:41 PM    4   14.00    0.00    3.00    0.00    1.00    1.00    0.00    0.00    0.00   81.00
12:57:41 PM    5    9.09    0.00    2.02    0.00    1.01    0.00    0.00    0.00    0.00   87.88
12:57:41 PM    6   14.14    0.00    4.04    0.00    1.01    1.01    0.00    0.00    0.00   79.80
